wavelength,keep_waves,fwhm
381.00558,1,8.415
388.4092,1,8.415
395.81583,1,8.415
403.2254,1,8.415
410.638,1,8.417
418.0536,1,8.418
425.47214,1,8.419
432.8927,1,8.421
440.31726,1,8.422
447.7428,1,8.424
455.17035,1,8.425
462.59888,1,8.426
470.0304,1,8.428
477.46292,1,8.429
484.89743,1,8.431
492.33292,1,8.432
499.77142,1,8.433
507.2099,1,8.435
514.6504,1,8.436
522.0909,1,8.438
529.5333,1,8.439
536.9768,1,8.44
544.42126,1,8.442
551.8667,1,8.443
559.3142,1,8.445
566.7616,1,8.446
574.20905,1,8.447
581.6585,1,8.449
589.108,1,8.45
596.55835,1,8.452
604.0098,1,8.453
611.4622,1,8.454
618.9146,1,8.456
626.36804,1,8.457
633.8215,1,8.459
641.2759,1,8.46
648.7303,1,8.461
656.1857,1,8.463
663.6411,1,8.464
671.09753,1,8.466
678.5539,1,8.467
686.0103,1,8.468
693.4677,1,8.47
700.9251,1,8.471
708.38354,1,8.473
715.84094,1,8.474
723.2993,1,8.475
730.7587,1,8.477
738.2171,1,8.478
745.6765,1,8.48
753.1359,1,8.481
760.5963,1,8.482
768.0557,1,8.484
775.5161,1,8.485
782.97754,1,8.487
790.4379,1,8.488
797.89935,1,8.489
805.36176,1,8.491
812.8232,1,8.492
820.2846,1,8.494
827.746,1,8.495
835.2074,1,8.496
842.66986,1,8.498
850.1313,1,8.499
857.5937,1,8.501
865.0551,1,8.502
872.5176,1,8.503
879.98004,1,8.505
887.44147,1,8.506
894.90393,1,8.508
902.3664,1,8.509
909.82886,1,8.51
917.2913,1,8.512
924.7538,1,8.513
932.21625,1,8.515
939.6788,1,8.516
947.14026,1,8.517
954.6027,1,8.519
962.0643,1,8.52
969.5268,1,8.522
976.9883,1,8.523
984.4498,1,8.524
991.9114,1,8.526
999.37286,1,8.527
1006.8344,1,8.529
1014.295,1,8.53
1021.7566,1,8.531
1029.2172,1,8.533
1036.6777,1,8.534
1044.1383,1,8.536
1051.5989,1,8.537
1059.0596,1,8.538
1066.5201,1,8.54
1073.9797,1,8.541
1081.4404,1,8.543
1088.9,1,8.544
1096.3597,1,8.545
1103.8184,1,8.547
1111.2781,1,8.548
1118.7368,1,8.55
1126.1964,1,8.551
1133.6552,1,8.552
1141.1129,1,8.554
1148.5717,1,8.555
